date,session_key,throttle,speed,rpm,brake,n_gear,meeting_key,driver_number,drs,lap_number,weather_date,air_temperature,track_temperature
2024-12-08 14:15:34.203000+00:00,9662,100,232,10758,0,6,1252,55,0,49,,,
2024-12-08 14:15:34.363000+00:00,9662,100,234,10834,0,6,1252,55,0,49,,,
2024-12-08 14:15:34.723000+00:00,9662,100,243,11202,0,6,1252,55,0,49,,,
2024-12-08 14:15:35.123000+00:00,9662,100,251,11579,0,6,1252,55,0,49,,,
2024-12-08 14:15:35.283000+00:00,9662,100,255,11679,0,6,1252,55,0,49,,,
2024-12-08 14:15:35.563000+00:00,9662,100,259,11425,0,6,1252,55,0,49,,,
2024-12-08 14:15:35.923000+00:00,9662,100,265,10497,0,7,1252,55,0,49,,,
2024-12-08 14:15:36.083000+00:00,9662,100,266,10702,0,7,1252,55,0,49,,,
2024-12-08 14:15:36.323000+00:00,9662,100,269,10905,0,7,1252,55,0,49,,,
2024-12-08 14:15:36.803000+00:00,9662,100,274,10983,0,7,1252,55,0,49,,,
2024-12-08 14:15:37.123000+00:00,9662,100,276,11046,0,7,1252,55,0,49,,,
2024-12-08 14:15:37.283000+00:00,9662,100,277,11092,0,7,1252,55,0,49,,,
2024-12-08 14:15:37.524000+00:00,9662,100,277,11179,0,7,1252,55,0,49,,,
2024-12-08 14:15:37.764000+00:00,9662,100,280,11228,0,7,1252,55,0,49,,,
2024-12-08 14:15:38.044000+00:00,9662,24,271,10702,100,7,1252,55,0,49,,,
2024-12-08 14:15:38.204000+00:00,9662,0,271,10212,100,7,1252,55,0,49,,,
2024-12-08 14:15:38.444000+00:00,9662,0,220,9232,100,7,1252,55,0,49,,,
2024-12-08 14:15:38.684000+00:00,9662,0,202,8998,100,7,1252,55,0,49,,,
2024-12-08 14:15:39.004000+00:00,9662,0,182,10271,100,6,1252,55,0,49,,,
2024-12-08 14:15:39.324000+00:00,9662,0,169,10387,100,5,1252,55,0,49,,,
2024-12-08 14:15:39.684000+00:00,9662,0,162,9869,0,4,1252,55,0,49,,,
2024-12-08 14:15:39.884000+00:00,9662,3,154,9748,0,4,1252,55,0,49,,,
2024-12-08 14:15:40.044000+00:00,9662,40,151,9554,0,4,1252,55,0,49,,,
2024-12-08 14:15:40.444000+00:00,9662,65,154,10056,0,4,1252,55,0,49,,,
2024-12-08 14:15:40.643000+00:00,9662,65,159,10336,0,4,1252,55,0,49,,,
2024-12-08 14:15:40.883000+00:00,9662,76,165,10388,0,4,1252,55,0,49,,,
2024-12-08 14:15:41.123000+00:00,9662,99,172,11228,0,4,1252,55,0,49,,,
2024-12-08 14:15:41.283000+00:00,9662,99,180,11848,0,4,1252,55,0,49,,,
2024-12-08 14:15:41.443000+00:00,9662,99,184,10868,0,4,1252,55,0,49,,,
2024-12-08 14:15:41.683000+00:00,9662,99,192,10425,0,5,1252,55,0,49,,,
2024-12-08 14:15:41.883000+00:00,9662,99,200,10837,0,5,1252,55,0,49,,,
2024-12-08 14:15:42.163000+00:00,9662,100,210,11232,0,5,1252,55,0,49,,,
2024-12-08 14:15:42.603000+00:00,9662,100,221,11205,0,5,1252,55,0,49,,,
2024-12-08 14:15:42.963000+00:00,9662,100,231,10572,0,6,1252,55,0,49,,,
2024-12-08 14:15:43.123000+00:00,9662,100,232,10712,0,6,1252,55,0,49,,,
2024-12-08 14:15:43.523000+00:00,9662,93,241,11180,0,6,1252,55,0,49,,,
2024-12-08 14:15:43.723000+00:00,9662,80,243,11251,0,6,1252,55,0,49,,,
2024-12-08 14:15:43.924000+00:00,9662,77,243,11078,0,6,1252,55,0,49,,,
2024-12-08 14:15:44.244000+00:00,9662,78,243,11113,0,6,1252,55,0,49,,,
2024-12-08 14:15:44.524000+00:00,9662,75,243,11362,0,6,1252,55,0,49,,,
2024-12-08 14:15:44.804000+00:00,9662,99,247,11453,0,6,1252,55,0,49,2024-12-08 14:15:44.661000+00:00,26.0,29.7
